Song Names,Disc Number
,7
 Takin Care Of Business,7
 Hit Me With Your Best Shot,7
" Bolin To Be Wild Fi
4 Sweot Caroline",7
 Dream On,7
 Brown Eyod Gill,7
" Me And Bobby Mcgee 
X",7
 Margontoville,7
 Tne House Of Ine Rising Sun,7
"  Love Rock And Roll 
™",7
 Wanted Dead Or Alive,7
" Candie In Ihe Wind
",7
 Something To Ictk About,7
"  Saw Her Standing There ao
“AX15 Many Mony",7
 Old Time Rock And Roll,7
" Your Mama Dont Gance o
",7
 Black Water,7
" Youte So Vain a
20 Its Still Rock And Roll To Ma 
ULTRA HIGH QUALITY 
————— er
",7
,8
 Unchained Melody,8
 The Rose,8
" Youve Lost That Lovin Feeirr y
2 Wonderful Tonight 4
5S when A Man Leves A Woman",8
 Careless Whisper,8
"  Will Always Love You f
we",8
 Sornewhcre Out Thre,8
 You Arc So Beautiful,8
" Endless love
",8
 Kuling Me Softly,8
 Dont Let The Sun Go Down On Ma,8
" Seq Of Love ot
",8
 Colour My World,8
 Reunited,8
" Up wnere We Belong
™",8
" Your Song A
 oe ",8
" The Wind Beneath My Wings 
j  ¢ “ULTRA HIGH QUALITY  ——
ga
",8
,9
" WN GRDOURGE Z err
 i
",9
 T FROnee iniow Placoe,9
 Gon,9
 nore Booey Hoon,9
" Tal bay Exe tne In Taxas a om
 in",9
 Tho Dance,9
 DIVORCE,9
 Your Cheotin Heart,9
" Fotevor And Ever Amen af  
ae",9
 Stang By Your Man,9
 EMia,9
 Hey Good Lookin,9
" Paper Roses Pa —
 oe",9
 Two Of A Kind,9
 Family Tracition,9
" Rose Garden 
IN",9
 Family Tradition,9
 On The Road Again,9
" Mountain Music rd va
19 Orie From Mushogce  ™s
",9
" Mamas Dont Let Your Babios Grow Up To Bo Cowboys ae
7",9
" To All Me Gis vo Loved Bofore a
 “ ULTRA HIGH QUAUTL
ee  coe et
 a
d 
",9
,10
" ed
emmiswicct  
Lae   wt ww be
 GcorgialBrown
S b
 i
  ee 
",10
"  
   Federal aw Drohbt Thal
 ARAOKE  UneAUinonzed Copy Ox Duplication’  lial
H y lol For Pubic Performance 4
 WOOCEORP eee
 
iy
  a a eee is a ree  ee Ps é
x",10
 Rew York New York,10
 Mock The Kile,10
 Alter The Lovin’,10
" I Lett My Heart In San Francisco y
AN 5S My Woy",10
 Untargatiabic,10
" Wnat A Wondertul World  5
",10
 For The Good Times,10
 All The Way,10
 Deliah,10
" Release Mo A 
» ",10
 Everybody Loves Somebody,10
 Cnonces Arc,10
" Green Green Grass OF Home i 
i ",10
 Strangers In The Night,10
 Cver Ihe Rainbow,10
" This Morment tn fines “” 
j “",10
 Ive Got You Under My Skin,10
"  3
s",10
" It Hag To Be You Lf
",10
" People a 
H",10
" Summerwind Pa i
 iz
j ae ee a7 
ne ee A
o
YY
",10
,11
 All Snook Up,11
 Twist And Shout,11
 Wild Thing,11
 Doo Whoa Diddy,11
" Teddy Beor
IN  Eight Days A Week",11
 Daydream Bellever,11
 Its My Party,11
" My Boyfriends Back 
10 Runaround Sue",11
 These Boots Are Made For Walking,11
" California Girls 
i",11
 Suspicious Minds,11
 Bye Bye Love,11
" Youre Sixteen
 ",11
 All Have To Do Is Dream,11
 Stand By Me,11
 Cant Help Falling In Love,11
" we
 SS",11
 Hello Mary Lou,11
" Rock Around The Clock Lf rt
 aon",11
" La Bamba LB 
“",11
" American Pie A 
 ULTRA HIGH QUALITY
ee ao
 LO wee eee ed
Lo 
",11
,12
 How Dol Live,12
 The Greatest Love Of All,12
" Thats What Friends Are For “  SoG
1",12
 Ive Had The Time Of My Life S Too Much Too Littto Too Late,12
"  Con
  ",12
 Crazy For You,12
 Love Can Build A Bridge,12
" Buby One More Time “A ad
 ",12
 The End Of The World,12
 Neither One Of Us,12
" Love Will Keep Us Together oY a 
Ss",12
 Son Of A Preacher Man,12
 Dream A Little Orcam OfMe,12
" Memory aN
",12
  Feel The Earth Move,12
" Wide Open Spaces 
 a",12
" The Shoop Shoop Song 1s in his kiss Pa a
",12
 When Will  Be Loved,12
"  ne
es ",12
" From This Moment On Po “
oe — t
 ULTRA HIGH QUALITY   r
° “i ange OTD TT
— eee ee FF    SSIS 
eye  a Nea inte Cr he
LAE hy IS
CA i Mey © toms oe End I
Ct eee  Md ome
sees”  Sy ™
CRETE ee oe 
04 OOS Sot  
See 890° Ss i
Lee ae
nies CNS
Stee yy
eS “oe
a
",12
,13
 Saturday Nights Alright For Fighting,13
 Let It Be,13
" Knockin On Heavens Door L
 ",13
 Bad,13
 Crazy Little Thing Called Love,13
 Addicted To Love,13
" Livin’ On A Prayer aA
RS",13
 On The Dark Side,13
" Cats tn The Cradle wy
 Y",13
 Changes In Lattitude Changes In Atutude,13
" Hey Jude ee
Y",13
,13
 Another One Bites The Dust,13
 Spinning Wheel,13
" imagine  A
1 a",13
 Beat it,13
 And venent Qe Ag Smooth,13
" 
 SK",13
" Back In The U wR y
 SS",13
" Rock This Town ee
I ed
 SLTRA HIGH QUALITY  5
 ",13
" weet tee 
  —— a ee 
 —  en ™
a a ae Tne
of 
",13
,14
" £ederal Caw prohibits ipa
BINEKARACKE  mamcesemyedeteis 
Va
 i
re CE po a ee  a
1 Pretty Woman",14
 Brandy,14
 Are You Lonesome Tonight,14
" The Lion Sleeps Tonight 
5 Sugar Sugar",14
 My Girl,14
 Sittin On The Dock Of The Bay,14
" Dont Be Cruet at i
9 Sgt Feppers Lonely Hearts Club Band",14
" It’s only Maks Believe 7
",14
 AiDiHo,14
 Fun Fun Fun,14
" Lucy tn The Sky With Diamonds 
",14
 Heartbreak Hotel,14
" Thank God Im A Country Boy A
 ",14
 Dont Go Breaking My Heart,14
" By The Time  Get To Phoenix 
 x",14
 Country Roads,14
" The Wonder Of You Pa
“4 “",14
 Jailhouse Rock,14
" Loule Louie ra
H mo",14
" Its Now Or Never a IN
   ULTRA HIGH QUALITY 
al a ee ee ee eee we TTT
in Se
—e —
a 
Lee TEN
",14
,15
 Love Shack,15
 Just A Gigilo,15
 Oh What A Night,15
" YMCA f “ONS
 y",15
 Monster Mash,15
 Wont You Be My Neighbor,15
" Greased Lightning ma ™N SY
“",15
 Macho Man,15
 Play That Funky Music,15
" Celebration a
",15
 Macerena,15
 Think  Love You,15
" King Of The Road  7
“K",15
 Lola,15
 Brickhouse,15
" Livin’ La Vida Loca a
nN ",15
" Banana Boat Song 
  ",15
" Paradise By The Dashboard Light ad
oN 
 ey
 “ ULTRA HIGH QUALITY 
  Tree eee rr
TT Omer
eee Jota  Tae
SASSER ies ES
SAIS MAIL oe To a
 SST LATS eS
tee TS SS SS SSS
",15
,16
" ¢ So
4 
SGBHORO No
 we

j 
4 Federal Usa Prohibisype 
y Un Authonzad Copy Ox Dupicaba 1
  ¢ Performance
WOGLBOXG l
Pots
  
 
oi LT TRY tek vee tes Ok oO  
1 Summer Nights",16
 Respect,16
 Stop In The Namo Of Love,16
" Material Girt a
 ",16
 Youre No Good,16
 Girls Just Wanna Have Fun,16
 Like A Virgin,16
" Fame vo
H",16
 Manic Monday,16
" Youre The One That  Want
",16
 Crackin’ Rose,16
  Want A New Drug,16
" California Dreamin’ a
N",16
 This Masquerade,16
 Blue Bayou,16
" She Drives Me Crazy 
a",16
" Watorfalis ”
a",16
" Smells Like Teen Spirit “
a",16
,16
" Will Survive 
° ULTRA HIGH QUALITY — 
 Oe ee",16
" 
— oe
tS
SATIS SAN
",16
,17
 The Days Of wine Ang Roses,17
" More  sy Jf
  S",17
 The Way You Look Tonight,17
 m od Fashioned,17
" My Romance PY Py
Yi SES",17
 On A Siow Boat To China,17
" tho LadyisA‘Tramp yy
SOF",17
 Angel Eyes,17
 Satin Dont,17
" My One Ang Only Love Pais f 
 YQ “hee",17
 Summertime,17
" Scotch “ Soda i ey “
 NESS",17
" Sood glorning Heartache rs 
eA  “14 a Someone tn Love
—— ” ——15 You Dont Know What Love Sea i 
Pe    to nw   
 Se pe EL 
— i
 —— as
uote  EEE ee et
",17
,18
 Summarwind,18
 Body And Sout,18
" Autumn Leaves Ay
S You Stepped Out Of A Dream",18
 Heres That Rainy Day,18
" Thou Swell KY
Wy",18
 Blame It On My Youth,18
" Green Dolphin Street 
Bry",18
 it Could Happen To You,18
" A Child Is Born rit Ly
XN",18
 Ont Look At Me Now,18
" Stella By Starlight Z
 SS",18
" Everything Happens To Mo a
Ss",18
" There Will Nover Be Another You BJ
",18
" This Time The Dreams On Mo oo
Ste pos 
 o ee ee",18
 a,18
" 
CSS eZ
 ae —  
i Oo ee 
To Sy  CON ee a ge
aa — “ree 
al a
",18
,19
" I
q f oO",19
 eee Lost,19
" By
1 i Sy Gey  an ae
 is eR eo a  f B 
 tS an arta i if
 FN",19
 Auld Lang Syne,19
 The Song Is You,19
 Wave,19
"  Could Write A Book  ff 
  § Just One Of Those Things",19
" Polkadots And Moonbeams   y
SAN",19
 Sweet Georgia Brown,19
" Young And Foolish yy 4
iN",19
 When Sunny Gets Blue,19
" You Took Advantage Of me  4Y y
",19
 You Turned The Tables On Me,19
" How Insonsitive yr y
  ",19
" Stardust   yy p 
SSS ",19
" Anniversary Song BF po  
",19
 Santa Claus is Coming To Town  ,19
" t
SS  ED  
 Sea AE ep SAEZ ss  
— — ce eel i ee
a SSS ——  —— rr
— ———— wee
",19
,20
,20
" All  Ever Need Is You Lo P
 “Sits",20
" Half Breed  gGEZ Ps
Me EE
",20
,21
 Space Cowboy,21
 Shooting Star,21
 Beautiful Loser,21
" Alison Ay
Q Yen S Dance The Night Away",21
" Love Hurts y 
 ",21
 Suite Madame Blue,21
 Lights,21
 Workin’ For The Weekend,21
" VY y
 Sm",21
 A Matter Of Trust,21
 Love Stinks,21
" Turn The Page dé 
ae",21
 Rock Me On The Water,21
" Babe Peg
SS",21
 Dy‘er Ma’ker,21
" A Man Ill Never Be se
ae",21
" Ready For Love  o
SNS  eel
ee
————
 
 we
",21
,22
 Thats Amore,22
 It’s Allin The Game,22
 TheGood Life,22
 Route,22
"  f
NY Sexs Danny Boy",22
 Blue Velvet,22
" Little Ol’ Wine DrinkerMe 8Biue Moon “ 
WA CS
AX CE",22
 This is AU  Ask,22
 High Hopes,22
" Crazy He Calis Me ty 
 Ny",22
,22
" Cant Give You Anything But Love AY
Nene",22
 The Candy Man,22
" Call Me Irresponsibte   
te ",22
" Count Your Blessings  ° ZJ F 4
WESSEL",22
" Rags To Riches  f’S
      ve eu P r
SF GP man ae Pf S g
oS — H 
——  
—————
",22
,23
 Shos Like The Wind,23
 After All,23
" Reflections Of My Life Ky
—  Q",23
 Soonor Or Later  Garden Party,23
" Cimbo Rock   OR 
” oo eS",23
 Saving All My Love For You,23
" Alone Again Naturally  LYS 
”  NY",23
 Carolina in My Mind,23
 Aint No Way To Treat A Lady,23
 When im,23
" Vy y
NA SS",23
 Crying,23
 Question,23
 and,23
"   ti
  iN",23
 Blue Monday,23
" Just Don’t Wanna Be Lonely a
 S ’",23
 Saturday Night,23
" The Twist fy
RSQ",23
" Tle A Yellow Ribbon BS
SEE",23
" Whats New Pussycat o
Ze en",23
" Whos Sorry Now
—  es epee Ce Ii fo
 ee SS Ee
",23
,24
 Burning Down The House Don’t Do Me Like That,24
" Light My Fire   
— a",24
 Journey To The Center Of Your Mind,24
 Loékin Out My Back Door ,24
" ff
iN YQ ",24
 Only The Good Die Young,24
" Short People  VA
NAYS",24
 Space Oddity,24
" Spill The Wine  iy y
IN Ne",24
" They Don’t Write Em Like That Anymore J
So et",24
 Too Rolling Stoned,24
" Werewolves Of London Ky f
AN ",24
 Whos Cryin Now,24
" Piano Man  A
NSS",24
" Green River   CLA
 s § Still Got The Blues For You
SS SS SSE SSO es gE A
as ne
tt SSS ———— —
",24
,25
" gv OD
SS SS EZ
ene 
 — a
",25
,26
"  a i
TT Meee set",26
" i Qo  core  
H i aan “oe AN AN ee  J  Coy H i
i z ar ais a  y I
ah vo    SS     aH
 inh   Seg  a  po
4 is Pag eet op
¥ aS  Son Mesa wo mee “ wt oo  Y
 Tt 
  ay Hey Tonight 21m A Man 31Cant Drive",26
,26
" Keep On Loving You A fj
LN SSS",26
 The Letter,26
 Wont Back Down,26
" Fat Bottomed Girls “y of
WAY ",26
 Fame,26
 Dream Weaver,26
" Bang The Drum All Day A uy
“SNK SS",26
 Workin’ For A Livin’,26
" Whole Lotta Love PG
SN SS “",26
 People Are Strange ojo,26
" 
 SSS",26
" Born Under a Bad Sign  f  “a
  ge   ",26
" Animal sy o aa
i  oe me  as WEL  a
en SS PEL EIEZ al
 SSS eo —
",26
,27
  Just Want To Celebrate,27
" Another Brick in The Wall  yy
XY i",27
 Back Door Man,27
 Big Ten inch Record,27
" Bad Moon Rising Vy Vi
N RN  Get Together",27
 Blues Power,27
" Heart Of Gotd b J
XQ Ck",27
" Can See For Miles 10Money  ° Vey
AK Ga",27
 Wholl Stop The Rain,27
 My Generation ZB,27
" 4
RRS",27
 Radar Love,27
" Roadhouse Blues  Oo’ LA
wy ",27
" Smoking In The Boys Room  ya
 — ee  — a WEL os sp
",27
